Application_Academic_Year,n_applicants,n_selected,selection_rate,n_furthest,n_furthest_selected,furthest_share,furthest_per_slot,log_furthest_per_slot
2013-14,985,778,0.7898477157360406,399,330,0.4241645244215938,0.512853470437018,-0.6677651072885281
2014-15,917,782,0.8527808069792803,300,299,0.38235294117647056,0.3836317135549872,-0.95807226588911
2015-16,1242,1057,0.8510466988727858,469,463,0.4380321665089877,0.44370860927152317,-0.8125872174239583
2016-17,2479,1450,0.5849132714804357,984,761,0.5248275862068965,0.6786206896551724,-0.3876929383623667
2017-18,2503,1860,0.743108270075909,998,984,0.5290322580645161,0.5365591397849462,-0.6225784903957831
2018-19,2966,1862,0.6277815239379636,912,796,0.42749731471535984,0.4897959183673469,-0.713766467762681
2019-20,3160,1850,0.5854430379746836,1122,901,0.48702702702702705,0.6064864864864865,-0.5000728319897288
2020-21,2573,750,0.2914885347842985,917,427,0.5693333333333334,1.2226666666666666,0.20103426572610864
2021-22,2306,750,0.32523850823937556,786,453,0.604,1.048,0.04688358589885046
2022-23,1480,1262,0.8527027027027027,503,499,0.39540412044374007,0.39857369255150554,-0.9198628730014192
2023-24,1522,1275,0.8377135348226018,555,534,0.4188235294117647,0.43529411764705883,-0.831733343846092
2024-25,1682,1275,0.7580261593341261,647,616,0.4831372549019608,0.5074509803921569,-0.6783551630916259
2025-26,2253,1275,0.5659121171770972,839,683,0.5356862745098039,0.6580392156862745,-0.4184907511253203
